Rank,candidate_id,composite_score,fit_category,skill_score_pct,semantic_similarity_pct,lexical_similarity_pct,experience_years,education_level,exp_edu_fit_pct,gap_severity,matched_required,missing_required,matched_preferred,missing_preferred,recommendation,job_id,job_title
1,candidate_06_devops_cloud_architect,75.2,Strong Technical Fit,100.0,70.1,23.2,8.0,Bachelor's Degree,95.5,Low,"['amazon web services', 'ci/cd', 'docker', 'kubernetes', 'linux', 'terraform']",[],"['ansible', 'bash', 'github actions', 'grafana', 'prometheus', 'python']",[],Strong Technical Fit: All mandatory competencies satisfied. Recommended for recruiter review and technical screening.,JOB-DO-003,Senior Cloud DevOps & Infrastructure Specialist
2,candidate_01_lead_ml_engineer,56.0,Moderate Fit,70.0,55.1,8.2,6.5,Master's Degree,98.5,Low,"['amazon web services', 'ci/cd', 'docker', 'kubernetes', 'linux']",['terraform'],['python'],"['ansible', 'bash', 'github actions', 'grafana', 'prometheus']",Moderate Fit: Review specific missing competencies with hiring manager.,JOB-DO-003,Senior Cloud DevOps & Infrastructure Specialist
3,candidate_04_fullstack_lead,43.89,Moderate Fit,43.3,52.1,6.9,7.0,Bachelor's Degree,95.5,Moderate,"['amazon web services', 'ci/cd', 'docker']","['kubernetes', 'linux', 'terraform']",['github actions'],"['ansible', 'bash', 'grafana', 'prometheus', 'python']",Moderate Fit: Review candidate profile and skill gaps with hiring manager.,JOB-DO-003,Senior Cloud DevOps & Infrastructure Specialist
4,candidate_08_java_backend_dev,31.14,High Technical Gap,26.7,35.2,1.8,5.5,Bachelor's Degree,95.5,High,"['docker', 'kubernetes']","['amazon web services', 'ci/cd', 'linux', 'terraform']",[],"['ansible', 'bash', 'github actions', 'grafana', 'prometheus', 'python']",High Technical Gap: Candidate lacks several core technical competencies; recruiter decision required.,JOB-DO-003,Senior Cloud DevOps & Infrastructure Specialist
5,candidate_02_data_scientist,26.02,High Technical Gap,16.7,30.5,1.9,4.0,Master's Degree,98.5,High,['amazon web services'],"['ci/cd', 'docker', 'kubernetes', 'linux', 'terraform']",['python'],"['ansible', 'bash', 'github actions', 'grafana', 'prometheus']",High Technical Gap: Candidate lacks several core technical competencies; recruiter decision required.,JOB-DO-003,Senior Cloud DevOps & Infrastructure Specialist
6,candidate_03_junior_ml_intern,25.38,High Technical Gap,30.0,28.5,2.7,1.0,Bachelor's Degree,43.0,High,"['docker', 'linux']","['amazon web services', 'ci/cd', 'kubernetes', 'terraform']",['python'],"['ansible', 'bash', 'github actions', 'grafana', 'prometheus']",High Technical Gap: Candidate lacks several core technical competencies; recruiter decision required.,JOB-DO-003,Senior Cloud DevOps & Infrastructure Specialist
7,candidate_07_bi_data_analyst,19.56,High Technical Gap,3.3,28.2,1.1,4.5,Bachelor's Degree,95.5,High,[],"['amazon web services', 'ci/cd', 'docker', 'kubernetes', 'linux', 'terraform']",['python'],"['ansible', 'bash', 'github actions', 'grafana', 'prometheus']",High Technical Gap: Candidate lacks several core technical competencies; recruiter decision required.,JOB-DO-003,Senior Cloud DevOps & Infrastructure Specialist
8,candidate_05_frontend_dev,15.12,High Technical Gap,0.0,24.4,0.0,3.0,Bachelor's Degree,78.0,High,[],"['amazon web services', 'ci/cd', 'docker', 'kubernetes', 'linux', 'terraform']",[],"['ansible', 'bash', 'github actions', 'grafana', 'prometheus', 'python']",High Technical Gap: Candidate lacks several core technical competencies; recruiter decision required.,JOB-DO-003,Senior Cloud DevOps & Infrastructure Specialist
1,candidate_04_fullstack_lead,72.79,Moderate Fit,100.0,65.3,18.3,7.0,Bachelor's Degree,95.5,Low,"['docker', 'javascript', 'node.js', 'postgresql', 'react', 'rest api', 'typescript']",[],"['amazon web services', 'ci/cd', 'graphql', 'next.js', 'redis', 'system design']",[],Moderate Fit: Review specific missing competencies with hiring manager.,JOB-FS-002,Lead Full Stack Software Engineer
2,candidate_01_lead_ml_engineer,39.69,High Technical Gap,32.9,52.0,5.5,6.5,Master's Degree,98.5,High,"['docker', 'postgresql']","['javascript', 'node.js', 'react', 'rest api', 'typescript']","['amazon web services', 'ci/cd', 'redis']","['graphql', 'next.js', 'system design']",High Technical Gap: Candidate lacks several core technical competencies; recruiter decision required.,JOB-FS-002,Lead Full Stack Software Engineer
3,candidate_08_java_backend_dev,38.82,High Technical Gap,37.6,43.8,5.5,5.5,Bachelor's Degree,95.5,High,"['docker', 'postgresql', 'rest api']","['javascript', 'node.js', 'react', 'typescript']",['redis'],"['amazon web services', 'ci/cd', 'graphql', 'next.js', 'system design']",High Technical Gap: Candidate lacks several core technical competencies; recruiter decision required.,JOB-FS-002,Lead Full Stack Software Engineer
4,candidate_05_frontend_dev,36.07,High Technical Gap,37.6,42.3,7.9,3.0,Bachelor's Degree,67.5,High,"['javascript', 'react', 'typescript']","['docker', 'node.js', 'postgresql', 'rest api']",['next.js'],"['amazon web services', 'ci/cd', 'graphql', 'redis', 'system design']",High Technical Gap: Candidate lacks several core technical competencies; recruiter decision required.,JOB-FS-002,Lead Full Stack Software Engineer
5,candidate_06_devops_cloud_architect,34.7,High Technical Gap,18.1,53.9,8.7,8.0,Bachelor's Degree,95.5,High,['docker'],"['javascript', 'node.js', 'postgresql', 'react', 'rest api', 'typescript']","['amazon web services', 'ci/cd']","['graphql', 'next.js', 'redis', 'system design']",High Technical Gap: Candidate lacks several core technical competencies; recruiter decision required.,JOB-FS-002,Lead Full Stack Software Engineer
6,candidate_02_data_scientist,25.02,High Technical Gap,14.8,33.9,2.5,4.0,Master's Degree,84.5,High,['postgresql'],"['docker', 'javascript', 'node.js', 'react', 'rest api', 'typescript']",['amazon web services'],"['ci/cd', 'graphql', 'next.js', 'redis', 'system design']",High Technical Gap: Candidate lacks several core technical competencies; recruiter decision required.,JOB-FS-002,Lead Full Stack Software Engineer
7,candidate_07_bi_data_analyst,16.12,High Technical Gap,0.0,23.8,0.6,4.5,Bachelor's Degree,88.5,High,[],"['docker', 'javascript', 'node.js', 'postgresql', 'react', 'rest api', 'typescript']",[],"['amazon web services', 'ci/cd', 'graphql', 'next.js', 'redis', 'system design']",High Technical Gap: Candidate lacks several core technical competencies; recruiter decision required.,JOB-FS-002,Lead Full Stack Software Engineer
